type,category,date,title,review,star
SK매직 MWO-20MC9,별점,20200315,잘 받았습니다~!배송은 빠르지 않았지만 전자제품은 시간이 좀 걸리니~ 많이 늦지는 않았습니다~그런데 배송 받고 보니...사진처럼 부딪히고 찢어진 것들이 보여서~!안의 제품에 문제는,"잘 받았습니다~!
배송은 빠르지 않았지만 전자제품은 시간이 좀 걸리니~ 많이 늦지는 않았습니다~

그런데 배송 받고 보니...
사진처럼 부딪히고 찢어진 것들이 보여서~!
안의 제품에 문제는 없나 생각했는데~!

오늘 만두를 넣고 돌려보니 아주 잘 됩니다~~~

안은 스티로폼으로 쌓여 있어서 제품이 멀쩡했습니다~

충격은 좀 받았을 것도 같습니다. 좀 더 조심히 배송이나 관리되면 좋겠습니다.

인터넷에 찾다가 여기가 가격이 싸기에 얼른 구입했고, 좋습니다~!

~!

참, 제조일자가 2020년 2월입니다~! ^^",평점5
SK매직 MWO-20MC9,별점,20210122,제품자체는 디자인 기능 가격 모두 마음에 듭니다만.... 오븐에어프라이 기능과합쳐진 멀티제품으로 생각이 바뀌게되어... 반품 하려고했으니 일주일이 지나버렸네요..지인한테 넘기던지,제품자체는 디자인 기능 가격 모두 마음에 듭니다만.... 오븐에어프라이 기능과합쳐진 멀티제품으로 생각이 바뀌게되어... 반품 하려고했으니 일주일이 지나버렸네요..지인한테 넘기던지 하고 멀티제품으로 가야할것같네요 하지만 이가격에 사용편리하고 제품외관까지 생각해주셔서 감사합니닷^^ ㅎㅎ..멀티제품도 sk매직으로 생각하고 있어요^^,평점5
SK매직 MWO-20MC9,별점,20200809,"포장 잘해서 적당히 도착 했는데저가 제풍이라고 불량제품-(표시한부분과 그위에 일자로 길게, 긴 부분은 사진으론 안보여 촬영 포기)녹이난거 같은데 그냥 동장해서 조립 판매...이건","포장 잘해서 적당히 도착 했는데
저가 제풍이라고 불량제품-(표시한부분과 그위에 일자로 길게, 긴 부분은 사진으론 안보여 촬영 포기)녹이난거 같은데 그냥 동장해서 조립 판매...이건 아닌거 같은데 하면서도 저가니까 그냥 쓰자니찝찝하고 그래도 아쉬우니까 써야죠",평점3
SK매직 MWO-20MC9,별점,20201018,장점: 일단 간편하고 간단하게 사용하기 좋습니다....,"장점: 일단 간편하고 간단하게 사용하기 좋습니다.

디자인이 깔끔합니디ㅣ.

단점:문을 열고 닫을때 가벼워서 렌지 전체가

움직입니다.

전원을 켰을때 무음이고 작동시에 소리가

나며 돌아가는 소리가 매우 큼.

사용하는데 무리가 없고 작아서 공간활용에 좋음.",평점5
SK매직 MWO-20MC9,별점,20200913,"고장나서샀는데 크기가 아담합니다^^;;물론 리터계산을 안한것은아닌데 지금까지바꾸기전에쓰던 전자렌지가 무척 컸었나봅니다.사용은잘되구요, 다만크기만 상관없다면 소형가전추천하고싶습니다.","고장나서샀는데 크기가 아담합니다^^;;
물론 리터계산을 안한것은아닌데 지금까지바꾸
기전에쓰던 전자렌지가 무척 컸었나봅니다.
사용은잘되구요, 다만크기만 상관없다면 소형가전추천하고싶습니다. 환경생각해서 분리배출철저히!!",평점5
SK매직 MWO-20MC9,별점,20210101,"6만원초중반대에 구매했는데 가격이 올랐네요 ! 잘산거 같아요첨에 작동이 안되는줄 알았는데,,, 나이드신 분이 사용하시는거라사용법을 잘몰랐다고 연락와가지고 불량 아닌거 확인하고 안심","6만원초중반대에 구매했는데 가격이 올랐네요 ! 잘산거 같아요
첨에 작동이 안되는줄 알았는데,,, 나이드신 분이 사용하시는거라
사용법을 잘몰랐다고 연락와가지고 불량 아닌거 확인하고 안심했어요! 빨리 보내주셔서 감사해요~",평점5
SK매직 MWO-20MC9,별점,20201213,이쁜 쓰레기 입니다.,구매후 5회정도 사용했나 봅니다.처음 사용시부터 무었인가 끓는듯한 소리가 났었는데요..5회정도 사용후 완전 먹통 입니다.작동은 하지만 음식물이 데워지지 않는다는거~일단 A/S 신청해보고 추이를 봐야 겠습니다.싼맛에 샀더만.... 디자인만 이쁘고 제품은 그냥 청나라 입니다.~,평점1
SK매직 MWO-20MC9,별점,20201202,필히,"어르신이라고ᆢ글과 필히 연락요망한다구 썼는데ᆢ 또한번 전화까지 했는데ᆢ현관문 부셔져라 두번이나 꽝꽝거리고 사람이 나오기전에 물건 현관문 안열리게 코 앞에다 놓고 순식간에 택배기사 없어졌다네요ㅠ 엘베 븥잡아 타고 내려간듯ᆢ바쁘고 힘드신건 알겠는데ᆢ심한듯 하네요ᆢ이래서 한두사람땜에 모든 기사님들이 욕 먹는합니다,ㅠ",평점5
SK매직 MWO-20MC9,별점,20190808,십수년된 삼성 전저렌지 드뎌 사망.급하게 검색해...,"십수년된 삼성 전저렌지 드뎌 사망.

급하게 검색해서 베이직한 기능만 갖춘 SK매직 제품으로 주문~

복잡한 기능은 싫다. 다이얼 두개로 다 조작되는 SK매직 아주 좋아요. 색상도 블랙이 엄청 고급스럽네요. 저희집 목재 인테리어에 잘 어울려요.

배송은 이틀 걸렸는데 뭐 참을만 했어요.

~",평점5
SK매직 MWO-20MC9,별점,20190726,"잘 받았습니다 ~~
조카녀석이 혼자 독립을 하게 되어","잘 받았습니다 ~~
조카녀석이 혼자 독립을 하게 되어 선물로 보냈습니다 ~~
요즘은 햇반등 반조리식품이 워낙 잘 나와 전자레인지 하나로 모든게 해결되는 것 같습니다 ~~
직접 보지는 않았지만 작동도 잘 되고 좋다고 하니 저도 좋습니다 ~~
빠른배송 감사드립니다 ~~
잘 쓰겠습니다 ~~",평점5
